fold,model,MAE,RMSE,MAPE
1,naive,51.583333333333336,68.00673986206563,14.235433039401633
1,seasonal_naive,44.25,45.183883557451466,13.485447279944418
1,ets,20.199222745995726,28.80899068386259,5.499603563850082
1,arima,27.11263836453583,38.41099712073477,7.5056581410464975
1,xgb_lag,28.112027486165363,35.75462983586874,8.28677960145156
2,naive,63.416666666666664,83.47404786319319,15.493458452131767
2,seasonal_naive,40.166666666666664,41.47489200307418,10.758631350996378
2,ets,12.660867488807975,16.34832616690969,3.207666938177187
2,arima,46.98768092871834,66.94397821476858,11.543697807071528
2,xgb_lag,32.93829854329427,39.11911794749287,8.740873149487172
3,naive,52.333333333333336,76.43406744813903,12.051654766187337
3,seasonal_naive,12.583333333333334,17.012250488006185,3.135083321575869
3,ets,24.624081557559833,27.034582269369256,6.835737848274956
3,arima,45.97312711585704,65.23154158368979,10.98792249986457
3,xgb_lag,41.84046173095703,48.00567022155253,11.12578763076683
4,naive,91.33333333333333,113.18863311599212,19.53625048261092
4,seasonal_naive,47.333333333333336,49.25444142409901,11.057923788901132
4,ets,20.82237072431214,23.45786302070506,4.79590151889614
4,arima,46.17979521989906,64.47610246176076,9.649737690424471
4,xgb_lag,55.549146016438804,66.74345126027747,12.200285935698389
5,naive,76.0,102.97653454387881,14.251338486772209
5,seasonal_naive,47.833333333333336,50.708316214732804,9.987532920823485
5,ets,13.38216805177216,16.98107114639144,2.8031374022858144
5,arima,41.83479811357296,55.22283896674891,8.220491115326752
5,xgb_lag,49.14900461832682,64.36022785631506,9.772088376942438
